ExperimentName,Subject,Session,Allowed,Clock.Information,ConsecNonResp[Session],ConsecRTLess200[Session],DataFile.Basename,ExperimentVersion,FontStyle,Group,Handedness,Main.RefreshRate,NARGUID,Nontarget,RunNumber,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionTime,StimuliDir,StudioVersion,SUBID,Target,TotalRespGreater200[Session],TrialsPerRun[Session],triggercode,Block,BlockType,Cue2Back.Duration,Cue2Back.FinishTime,Cue2Back.OffsetTime,Cue2Back.OnsetTime,Cue2Back.StartTime,CueFix.Duration,CueFix.FinishTime,CueFix.OffsetTime,CueFix.OnsetTime,CueFix.StartTime,Fix.Duration,Fix.FinishTime,Fix.OffsetTime,Fix.OnsetTime,Fix.StartTime,Stim.ACC,Stim.CRESP,Stim.Duration,Stim.FinishTime,Stim.OffsetTime,Stim.OnsetTime,Stim.RESP,Stim.RT,Stim.RTTime,Stim.StartTime,StimType,Stimulus,TargetType
Emo_Nback_20180527,1,MRI,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,59.9811803738,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,07/18/2018,17:15:13,Stimuli/,2.0.10.252,0,1,0,160,"['5', '7', '^', 'num_5', 'num_7', '=']",1.0,Cue2Back,2500.0,36611.0,36611.0,34112.0,34112.0,500.0,34112.0,34112.0,33600.0,33600.0,,,,,,,,,,,,,0.0,,,Faces,,
Emo_Nback_20180527,1,MRI,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,59.9811803738,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,07/18/2018,17:15:13,Stimuli/,2.0.10.252,0,1,0,160,"['5', '7', '^', 'num_5', 'num_7', '=']",1.0,2-Back,,,,,,,,,,,500.0,39112.0,39112.0,38612.0,38612.0,0.0,No Match,2000.0,38612.0,38612.0,36623.0,,0.0,0.0,36622.0,PosFace,23M_HO.bmp,nonlure
Emo_Nback_20180527,1,MRI,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,59.9811803738,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,07/18/2018,17:15:13,Stimuli/,2.0.10.252,0,1,0,160,"['5', '7', '^', 'num_5', 'num_7', '=']",1.0,2-Back,,,,,,,,,,,500.0,41611.0,41611.0,41112.0,41112.0,0.0,No Match,2000.0,41112.0,41112.0,39122.0,,0.0,0.0,39122.0,PosFace,12F_HO.bmp,nonlure
Emo_Nback_20180527,1,MRI,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,59.9811803738,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,07/18/2018,17:15:13,Stimuli/,2.0.10.252,0,1,0,160,"['5', '7', '^', 'num_5', 'num_7', '=']",1.0,2-Back,,,,,,,,,,,500.0,44112.0,44112.0,43613.0,43613.0,0.0,No Match,2000.0,43613.0,43612.0,41620.0,escape,,42615.0,41620.0,PosFace,AF02_HO.bmp,nonlure
